Index;BookCode;Language;BookName;Source;Encoding;Status
1;dost_cap_ende;en;crime_EN.fb2;http://originalbook.ru/;UTF-8;
2;dost_cap_ende;de;crime_DE.fb2;http://originalbook.ru/;UTF-8;
3;dost_cap_enru;en;crime_EN.fb2;http://originalbook.ru/;UTF-8;
4;dost_cap_enru;ru;crime_RU.fb2;http://originalbook.ru/;windows-1251;
5;dost_gambler_ende;en;gambler_EN.fb2;http://originalbook.ru/;UTF-8;
6;dost_gambler_ende;de;gambler_DE.fb2;http://originalbook.ru/;UTF-8;
7;dost_gambler_enru;en;gambler_EN.fb2;http://originalbook.ru/;UTF-8;
8;dost_gambler_enru;ru;gambler_RU.fb2;http://originalbook.ru/;windows-1251;
9;dost_under_ende;en;underground_EN.fb2;http://originalbook.ru/;UTF-8;
10;dost_under_ende;de;underground_DE.fb2;http://originalbook.ru/;UTF-8;
11;dost_under_enru;en;underground_EN.fb2;http://originalbook.ru/;UTF-8;
12;dost_under_enru;ru;undrground_RU.fb2;http://originalbook.ru/;windows-1251;
